"Series","Time","Mean","Lower_80","Upper_80","Lower_95","Upper_95"
17,56,131.192424543624,117.734442990818,144.65040609643,110.610217898748,151.7746311885
18,53,128.781963113456,118.573403683724,138.990522543188,113.169318757777,144.394607469134
18,54,129.324332250892,119.115772616787,139.532891884997,113.711687582651,144.936976919133
18,55,129.866701388329,119.65814129445,140.075261482208,114.254056016925,145.479346759733
18,56,130.409070525766,120.20050961457,140.617631436961,114.796423904384,146.021717147147
19,53,154.120489780531,135.860511518426,172.380468042636,126.194262920513,182.046716640549
19,54,154.120489780531,128.298276509992,179.94270305107,114.628822514016,193.612157047047
19,55,154.120489780531,122.495395468484,185.745584092578,105.754081806182,202.48689775488
19,56,154.120489780531,117.603281750582,190.63769781048,98.2722395197296,209.968740041333
20,53,161.501015915369,142.171831720093,180.830200110645,131.939579690847,191.06245213989
